Survey_ResponseID,Topic
R_1C7NqhhPa152vIZ,7
R_1C8RRe41aLesvyd,7
R_1C8t1JAe5Wo7sSl,1
R_1C8w4NDDQC5fcgE,13
R_1C9JNFshblsSjyF,18
R_1C9YUFD8GunlGej,5
R_1CBcqx5T9GZcMRt,17
R_1CDqTWLWIk642Vp,10
R_1CDsrhMg50NRqDR,6
R_1CEeWOcxWHKG89k,7
R_1CHdyvBKOQ3uBZ4,6
R_1CIOVoUy3w1iF6O,2
R_1CIQjlABWt7jZWc,1
R_1CIacB07yGtR0gk,4
R_1CJ6LgP7rtL24ny,14
R_1CJSAA89V2pN4FB,10
R_1Cd5zmz07X5BqKa,4
R_1CdSxzYzFm2SGuB,10
R_1Cew4e6dmKZSryU,3
R_1CexkWTJYOAs1Rc,0
R_1Cf4l6dtpfbfIwm,13
R_1CjNNUhUiSbeOoM,0
R_1CjWIsByjtP0GxZ,15
R_1CjrqlIqihbkYgk,9
R_1ClnfW3zvg8zzL8,17
R_1ClqO4ZMDuwGjfl,15
R_1CmhrU1GJmKnbwz,17
R_1CqGMkfiCiATbn4,14
R_1Cqo5jWbdtMOnzE,7
R_1CrP2yfBldcblJm,14
R_1CsjLBKNdgim4ua,13
R_1CwjzRpr3YtQm10,1
R_1Cx2TzfSj9KxVhR,12
R_1CxLS0volYi8suF,2
R_1Cxudu8A9eVd1uu,2
R_1CyB9f5zdimvkgY,2
R_1DAmI2BFtglaWhP,3
R_1DArtWUMWCFGc0k,16
R_1DBjajUfMYmS4cI,6
R_1DCt230xICUxYN0,0
R_1DGSlefke200soD,0
R_1DGVVsovR661OqT,5
R_1DGYq18HeymWNfH,15
R_1DJ4QJgrJwK7g3Y,9
R_1DJdUrYA1I0QAKh,4
R_1DLRE54vbCjvb6t,4
R_1DN3c0hBRQtsdUT,13
R_1DO0yCFWRZwNW8m,0
R_1DO3QSVDoDTYM4y,18
R_1DOwHkGiX8DX7mF,6
R_1DTocDmr98DeSu5,10
R_1DULPnUes4caEHg,0
R_1DUTc6uWTcrQ0eJ,1
R_1DXTNttXJvyt2M8,4
R_1DYWdbAMt6LyCZH,15
R_1DYjkc1gJNvrzzL,4
R_1DonBwcSlvKQtt9,8
R_1DqZfuFgEoydLGw,7
R_1Du7cF5hhpQDgPP,3
R_1DuNz7P7ow9xvT2,7
R_1DuoH6Bkf22R6Ck,10
R_1Duw20LaOXMnKSN,8
R_1DzG6V05pa3lHSx,0
R_1E09cCgzMzFPS25,3
R_1E0ZZlhukNsNc7w,3
R_1E3TJBNJVtr3tcD,0
R_1E53RXpod4qfyA7,11
R_1E5RqOd5LIHJqSq,0
R_1E5U50Tc4uzCeY2,16
R_1E6GWpRjzjM8bNK,14
R_1E7ooGdyrfxLePW,13
R_1EYyNuRpRDjWWz1,7
R_1EafkWC1L7tVe0w,4
R_1Eb0TuKdBzAPRU5,14
R_1EbBdl7Uln82HNr,6
R_1EbOsVC9pLY3RmN,6
R_1EcWoboad0WrY5X,12
R_1Egu0oETMcJuIOb,8
R_1Eizh6ntwqDN9K1,6
R_1F2tvNSRK2zrouN,5
R_1F35QiIK5csZBEC,6
R_1F4fgnTRZwHJ1WY,2
R_1F57CbiIhh4rOKq,0
R_1F5JRp7RYbcB55J,4
R_1F5LdE5ipIiHqwA,18
R_1F8kBHmvN5XyD9g,15
R_1F8mw2kq3LVfGAd,2
R_1FCCFzxKwErO5Sp,16
R_1FCKkx02ayJ8GvV,4
R_1FCYNIyA9OC3dAo,14
R_1FDuPfFH7Gp0BWI,4
R_1FEerxbp2OBvJyP,19
R_1FIIRdb0jGJ9oRe,14
R_1FILvmI2ZEKHPPR,3
R_1FJ01Kk4aB1BWNJ,1
R_1FJHvQm83j8lK35,12
R_1FJlXVDBsBrZOy3,17
R_1FOE3GDn0yhQrVA,7
R_1FOF7Wf94oe6aMa,9
R_1FOIfMkxbOPrpSF,4
R_1FPtnyDUi83F045,9
R_1FQHtC65uMiLsjT,17
R_1FRQDBoks93vPCz,8
R_1FRsomi7uxATDER,8
R_1FWSWSjBuPMvSgx,4
R_1FaohPMY0mE5O4K,1
R_1Fb4EL4IE75q7lf,16
R_1Ff9SbW1Qsyhopk,5
R_1FfETqbn5GhKwYj,7
R_1Ffcx0CMHqog6G8,12
R_1FfxhRRore9Zatj,0
R_1FgFVnfjrowZz1l,4
R_1FmFI2FlHcSqbJj,11
R_1FmFxVGW4771Ubh,0
R_1FmqNSKTkFPA2iS,6
R_1FmvdkhGeYstPcU,0
R_1FnbihJLqMICvMb,1
R_1Fqx3JMV50VhGvZ,14
R_1FrdQkXjcUod40Z,6
R_1FvyK0jRfjYmXQd,3
R_1FwushWdNnxMnwa,12
R_1Fxjci1mPvgmZs5,4
R_1FyNw1r0DyrEPsP,17
R_1Fyt4lN10F6TI3f,7
R_1Fyt6rHyiQcVOT8,6
R_1Fz9yYKcVxPaD7n,4
R_1FzILFUkhEqt8k1,0
R_1FzkhYhOpeojsYt,2
R_1GBQ45wkJVX0xCi,3
R_1GCgOvzvQllBwhO,2
R_1GCwpR4TbUNRunu,19
R_1GDlAVAGQS3e35H,2
R_1GE6LgeTEJUmjF7,0
R_1GH7N5dBHvUlsG0,16
R_1GHRqNeLfZhykV2,8
R_1GIfjocF2dRzyeH,9
R_1GJQPdG3jpH3uLc,12
R_1GJh487BwGHUzGO,2
R_1GNwNjI3wJh2Kx4,12
R_1GOAtWFJawsiDH1,9
R_1GOF9DMNA7svT6V,14
R_1GP6FxkWgiZPf0s,14
R_1GPUUOebp9ScVi1,16
R_1GUnaIBNtPG7cDs,12
R_1GVN63HjPpVXPEx,9
R_1GVPS4RDaK1CXl9,2
R_1GVsIStj8gTkbIE,14
R_1GWHQwmLGiIkYBH,18
R_1GWwhndoXXJDzDA,4
R_1GZy78Wx8EqIpUZ,3
R_1GghoTNZdgUeySl,5
R_1GwfxDTVD3u41f2,6
R_1GxbsZQY6mAp3qv,18
R_1GymT83N9uDSyIG,2
R_1H1tRn5FYicLqa0,2
R_1H2C6LKN5sYiPMS,9
R_1H2GHIU38Oascte,13
R_1H62mXmUtez2cIy,2
R_1H6R8vRtVJI4SFg,12
R_1H7fdZFFkwr8HKx,13
R_1H7zBXFz4gN1Ezl,3
R_1H7zLm1nT1XvnWc,3
R_1H8nEEGnbME0xMW,17
R_1HSZrCPXWeOpW01,7
R_1HcpQT6Ffivx73P,9
R_1Hena1rUph3TnA3,13
R_1HerhOnGTMWUefJ,19
R_1HjZ92vLV80BMkA,4
R_1HjyB8kWn4gmwp5,18
R_1HoDTPQVCFl0O3q,9
R_1HotIA3syHobFfp,16
R_1Hq7yoxBmdHT0Yh,8
R_1HqJHdXffOUfDTR,4
R_1I4dnMKlrmtUP09,14
R_1I6meOeB0piHEX8,17
R_1I9Fh0y1T090Zve,0
R_1IBrWZ6f5U3InBf,19
R_1IEJrvdmlz5uakB,2
R_1IFq9WjfDcelfCl,3
R_1IK012DF2hayY8h,19
R_1IL4eE4qWAUTvTW,15
R_1IN7vU4CWQnwLLx,5
R_1IQJmGpHDXC3ASx,4
R_1IQrTixrpV3RdZy,11
R_1IRcsBDiYNaqCGX,4
R_1ISEgH4xrMo9cJp,5
R_1ISJv7z3x6BnK4k,3
R_1ISgBaln8Q2qIGM,2
R_1ISqoR3tKsqaNs0,19
R_1IT5DE79ggVU9Gn,7
R_1IWXqj0cRYmRnLa,15
R_1IWp2m0gvPUsXI2,18
R_1IWt7J1H7X5j4eL,2
R_1IXwEWfLjfU1xax,9
R_1IYpsszqv6YqEQ3,1
R_1IZA04pWGgneKFl,4
R_1IZBlduDFUJEphM,9
R_1IZaUJW0SgxmGhX,16
R_1IZaizh36yGgZ9k,17
R_1IZrt5CyqgTg2Qe,3
R_1IaO9kPXlVlBWD9,7
R_1IaQCAaU1CcbXWO,1
R_1IaYiTSaUaD2W2i,15
R_1IabI5u1FwYo00V,11
R_1IbecOt0BQCiSOz,2
R_1Ii7vZJ3EmJx7Uw,2
R_1IioZPxKZBHs2gO,6
R_1IjfIrRId1XetYO,10
R_1IjiyEVDz09eFAs,4
R_1IlWpd2jLOlqA4H,11
R_1ImFLLGALT606WO,8
R_1In6bbPNQjLRhxu,11
R_1IpfWhyTOaCIYeM,18
R_1IsBNBTlSlOVuGG,6
R_1Isyig1z1xCQlbf,9
R_1It3uPOCs8UZVMn,0
R_1IvixEtBxtoh7vX,17
R_1Iy2gQsVfTKf9TT,4
R_1IzrCDFm7It9xYW,4
R_1JCOWhti2Oqu5kS,2
R_1JDPvSxDgeKBb7U,19
R_1JDhRjAMiEkIuKT,0
R_1JDsMErIBkh4e3h,17
R_1JE35IU6N21ow0O,16
R_1JEoAUQUClB8E1Q,15
R_1JFagmho9RdIy6Q,3
R_1JJ8YCoLzDqN39u,11
R_1JJ9dsXDfWNb4HX,3
R_1JJX4KoHykdcLcI,14
R_1JK328FVWElecfL,19
R_1JL4SqKTl0o7xEN,10
R_1JLBP1fFf3p8tpy,2
R_1JRRs0ZhgHAXLPG,8
R_1JUT4H78WPmsV36,8
R_1JVHDWwu3QXAR0A,16
R_1JXvzOjJfRfNBLk,13
R_1K0zy1Mt6OG2jGF,10
R_1K1NjOtOgpzvVDE,9
R_1K2pnJ1E6MRzlr0,8
R_1K3XYuvFofXLIzN,12
R_1K8s5AXqBrnDyC4,4
R_1K9f38YmK0xZOOv,8
R_1K9kGW0TCypZf4M,8
R_1K9yOc1WbKzImgH,17
R_1KdkZBS3fscHwuC,2
R_1KdlBlo1yOVwef9,12
R_1Kdrii5cpL8DIZS,5
R_1KeTKuQXOr9Ds8d,15
R_1KeXbdcXuMQWdmP,11
R_1Kfqeo4hMzlsFdQ,8
R_1KgcgVU74gORt4G,6
R_1Kj7uR43IVKeTra,8
R_1KkFs7rgWXlWf58,17
R_1KlMYPvPKoudQO5,5
R_1KloshKwV8MUAx4,2
R_1KloxYvQthvrytv,10
R_1KlrpXr5yhzzVu3,0
R_1Km9vP07nuJmFHX,18
R_1KmbYBZQ4ogvucS,0
R_1KpwZSZ5wwEFepN,4
R_1KqhfYKlNJg85SH,17
R_1KrGWfbBFSsqxlt,0
R_1Kru2C0Zf28ZbQ0,5
R_1Ks4GqaB1absf4q,3
R_1KuRw7yqmhN2In1,12
R_1KwJ4svzD8bxfTs,15
R_1Kwnuz6KPM796nt,2
R_1KxVDxZl2H0XoHS,5
R_1LA7EtbBxPAL2qa,10
R_1LBb6RJC62dh4y4,6
R_1LBvKYfg8hgoloJ,19
R_1LCDUCqkRzsNyRo,18
R_1LCMXBRIyG4h84a,10
R_1LCdu4c1mJw1NPw,13
R_1LFEtkSrCa4Ri46,9
R_1LFmho6mBajcceh,16
R_1LFqrP3wXLY29vm,13
R_1LH9jGluPc9Ks28,11
R_1LI4sRCOpeUEw4V,14
R_1LIGtABfsfoV9eO,2
R_1LIJDv6NDuvkCi4,6
R_1LIhFuivD74bKNQ,18
R_1LLeEJshq2p2Ej7,12
R_1LMa9REuvUok05j,17
R_1LMcU7izBtOlnNn,0
R_1LMuiHUY0gK5lHE,2
R_1LMx3Ij1VcN0Cnc,7
R_1LRMfvqtCuHQOG4,10
R_1LRR1P5IQqdSvIP,17
R_1LRtdK1XMr1uFCf,3
R_1LRxmw1v9XlwyZ4,10
R_1LU3ZUh1C0Ij7PO,18
R_1LUaD6cuon5njXD,4
R_1LUuuC6VrhpFCm8,11
R_1LXVb9shLsHRmNV,19
R_1LXWy9XtgeTLKs3,11
R_1LXruw2HNunUocq,2
R_1LY9mbPmeG2WbfE,8
R_1LYvldXrvEt6Cel,3
R_1LZKI07AWpPDeKE,3
R_1LcBezsxrOCPoma,1
R_1LcCULNDVzpY8B5,8
R_1LcHRNTQP5Ht1tg,17
R_1Lcd7C42dsaZUig,10
R_1Ld1FGLTStOykIS,2
R_1LdmaFBhWUcIaF7,15
R_1LduYCKTqHZAamW,3
R_1LhFM2BaxIGVUFr,14
R_1LhfOLPGAesRIV6,2
R_1LhrEPku3icyXBp,17
R_1LiA2fJVDUQ4IXM,0
R_1LjSgCvVRqzw9aN,14
R_1Lkg917fX5vUGok,10
R_1LoL695ixNZxVpn,18
R_1LqEf4VXuqbsVzA,5
R_1LulffFsNbmcr93,16
R_1Luv6L4DgyQNKdI,7
R_1Luv7PTSNMEjqFV,6
R_1LwfsLJ5DG4OwEO,13
R_1LzHohGU7DwEkFr,8
R_1M3AyVBcoK62Enz,11
R_1M3NpvxQQpsbEzI,1
R_1M5mnTcAVcSRcli,6
R_1MJSWPNY1QR0Q68,4
R_1MMP47rgh3ubRwP,17
R_1MPUcBEwaqGfQoa,6
R_1MQ9xtfsmzwaDML,9
R_1MQIBxrlXnpRlSN,7
R_1MQJZk1ALfEkRX3,18
R_1MR5moHBEzMpL1a,17
R_1MR5sQWJc19hOeY,7
R_1MRiCPyfWGB5siw,7
R_1MRq2bN1HyXAyLJ,11
R_1MSOoW9gkEFmm8j,4
R_1MSdx5jdOD4hvgV,2
R_1MTbVUzYEQq2MzU,12
R_1MTfhMzI3ijaGhX,7
R_1MWGgHMNDdqJb2L,0
R_1MXNkKRoumaX8uK,0
R_1MXUL8xOw2LkP30,15
R_1MY7yxvExjQWTkv,8
R_1MYWNvd6IFetpta,3
R_1MYdjbgZgAAC4Mx,3
R_1MYrYnG98fauwrr,4
R_1N1YOGbiFkuF3OL,4
R_1N2pRfCrIwFtKcN,18
R_1N4VduE7gDj7UHY,5
R_1N52McSjcCnVqIm,7
R_1N5g9DewPFrXN7Z,3
R_1N82O6CJHs0nGOl,11
R_1N82p883ADvIocT,5
R_1N8EWV0P6ZdrhpK,11
R_1N9BtdjOYs5v931,8
R_1N9pWwGB4wRs5qJ,2
R_1N9qRfxsySxBONQ,1
R_1NCxClJRs1CoC8r,3
R_1NCzj2eSHI4QGcd,8
R_1NDiWYuyBol2BgP,6
R_1NDpAK5cXZeWOk0,19
R_1NDq0rxoUSu6oyz,6
R_1NEVjqnQFBlnPsg,17
R_1NFde2vzLpu8IWT,13
R_1Ne15WLtaDfzhn6,12
R_1Ne2JloUidBq219,16
R_1NeoNgC1NTMpb9s,11
R_1NewMfEsTdiNbSy,3
R_1NfYBCMTmzHgXGh,7
R_1NfxGiJddqHvUUI,4
R_1NgAUlbpH2mgLYQ,11
R_1NgAWSeub1pgOGj,17
R_1NglQq1cT6f3iyC,11
R_1Nh9okz5clSAlfl,17
R_1Nk57CWNWLZRoiL,19
R_1NlGZCWpxXc8mjn,4
R_1Nm3YmRfVbFlyxr,6
R_1Nnv2IYQFpUwHrr,8
R_1NqX2rcME0JPYC0,2
R_1NqqyzucNoF60vO,19
R_1Nt5TRV4pOyaNDt,6
R_1NwE45kvtaPdPCt,1
R_1NwaJL5HIqAmg3v,18
R_1NxFdNqQPtjjSci,1
R_1NySziOu3paaWyj,9
R_1OB35RwuRIwi8tf,0
R_1OB5P2ZPguPBd8T,6
R_1OBGRKo14yqf56y,10
R_1ODe1SMZqOWRciN,13
R_1ODhd1JuDR58zaI,2
R_1OIDizdfPJbwBnV,11
R_1OJZKQM4ZrHncBJ,9
R_1OK4kjlIGd3SHzR,16
R_1OK73VTU4KtCpkI,8
R_1OMKeKICcW0F652,6
R_1ONrCkUEhKm1LZY,11
R_1ONsVOpSDE6jAfT,0
R_1OOHz5RhknrMb71,14
R_1OUCXzz9tA7EnDD,4
R_1OULU4qXZSClHig,11
R_1OUlnkhW3dDI5OS,13
R_1OYNqFNHdMPgU8R,6
R_1OYP3GlJXueiqir,16
R_1OYP3LK9YZu0Gig,10
R_1OZUQwC9oyVRYlu,6
R_1OdAv6xEiMTPsbf,7
R_1OiPcwBGmhUHeZF,11
R_1OjcHe0kRKvUW0z,13
R_1OkoXmNAIM2ExN2,19
R_1Old6FsuUzbiU9r,17
R_1OlyKZYuQUE5Cgc,0
R_1OoDfTebvrkVh17,9
R_1OoTwO6DAhxUf8x,7
R_1Oov0G05pkQnKNn,1
R_1OpBOVBIiQpQOdY,13
R_1OpmXXHjsxHBvog,6
R_1OprtP8diGQibgy,14
R_1Oq3DG0zY5vXXn7,4
R_1OqVCuM7fGds9xh,3
R_1OrGvhuVOsDWJUp,18
R_1OrTsiPCkAlmb0N,9
R_1OwPHmxBaFuAS1q,4
R_1Owwa72zuqchWxY,3
R_1OxFLrUyPQnVvhR,2
R_1P0LqZV0oEW37kP,2
R_1P0kCmz0zdMSEld,17
R_1P12IAJWGMZsnVd,18
R_1P1A6wWO5XPAIPg,13
R_1P4URZhhvR2M604,19
R_1P5ErlPGjubgaax,4
R_1P6kulS3ccGeGBa,19
R_1PRE6htgNiTE6sa,15
R_1PUcgnVG2i0EBz4,3
R_1PYPmKqQr85ZxYc,13
R_1PYj89tLuB6NrO0,8
R_1PZ4RLWFoejyITM,0
R_1PaWyy52p6QVJzy,2
R_1PcttxbjmIpzZ9t,11
R_1Pd540Yi7vg2fS3,6
R_1PdfnI1HKjhU1Re,7
R_1PeqopBBLP0TtXA,17
R_1Q0MPooXbStQQhO,18
R_1Q3AyE3HMTBGZ4v,9
R_1Q3YqoPwNpKkGrB,2
R_1Q62CIVb2WAS8hB,5
R_1Q9JeeKncbbLcz0,12
R_1Q9O3vi1WWPbWtk,7
R_1QAdgChcm0LQ6CE,1
R_1QB1ztGTGqYRyPX,2
R_1QF3XP54i5CY4l4,11
R_1QG7SsKpYQgSIAF,6
R_1QJDCnwRoXCQWZO,2
R_1QKu8qtvgo0d1uS,12
R_1QLfbB3Lho273wG,6
R_1QLtq9IxnM5iU7c,11
R_1QMDaPkVnGwBGJf,17
R_1Qa8m0zuQtcKx67,8
R_1QbE8mmoK6aNH9T,19
R_1QbXTBxp4gQeTaM,4
R_1Qc2nux7GJ7vVuH,9
R_1Qcnm6Phc1DkWqS,19
R_1Qcs0yA8Nr6teOo,9
R_1QfRrCll2CbcTFM,2
R_1QgCk1rGPI0P6Ae,2
R_1QgWXnlpERvWjrY,7
R_1QgwH8nezKJlxLB,18
R_1QhEPMXONBU12sq,5
R_1QhKXo3FefH4Bab,17
R_1QlNhkrA0pIwVAs,18
R_1QlQmuoSYcXfCSG,18
R_1Qlu9zbB0XgXZ3s,18
R_1QnGxCVpumQBm7E,6
R_1QnrzFsIBd6G3N9,9
R_1QoPHtffEy2UzWJ,4
R_1QozBaV2v9k1qO9,4
R_1QsBQXKcvaivx1j,0
R_1QsZS0nI2sw5gl5,15
R_1QtQEfi1VAWgRM0,9
R_1QtkxqZLOSdoIDI,4
R_1QuSUnjdiniq8jy,12
R_1QuT8Zf9NLAgbX4,4
R_1QupmKjSh9fA4l4,0
R_1QutEVkZz69QFR7,9
R_1QxWJ4eONQD2REs,6
R_1QyGzHCOIStR4Ui,3
R_1Qyzwfx5HrXdw4U,3
R_1Qz3qj05Z7L5MrZ,1
R_1RFaLdtXxWmh7RT,0
R_1Ri2PvXp7pnqqyt,14
R_1SvBiUOkCrlBTKV,2
R_1TiazSpgYGmuW9X,3
R_1TvhpEMhVBwUasN,10
R_1Xhiz3TBoe2gQdH,11
R_1Y4dGwaFnIeeNeF,2
R_1Y749UrP3H63nsR,19
R_1ZmrvpO6K4KDhaF,9
R_1cSKDh8brnAicte,10
R_1cUrY5EuyLHnEhf,15
R_1cYOJAbPFoatHTg,2
R_1cYTBjpzLmoD0o6,14
R_1cYxarQPFQxNRHB,6
R_1cZfyoMTmga6Jem,10
R_1d02LBY83RUbFAj,12
R_1d0GcZ7p11vQMGl,2
R_1d1fnT4sjZABBwe,2
R_1d4EqY6QNpI4BOG,5
R_1d53jiCj5wF9MDy,6
R_1d6V903Xy4VOFla,17
R_1dAhJdFXHV5xmMG,12
R_1dAp3oDIZaH4ggg,0
R_1dEK26hH8SPqc9F,1
R_1dEORt9BZBN76Bt,18
R_1dEuiympk4ngwO2,0
R_1dFVQ2MB95HFdqY,8
R_1dFu7LeBJE3Wd6p,0
R_1dGJJ0N03cLSnkk,19
R_1dKBjc0UTA0ZiYb,6
R_1daA74lMpRe8vI5,15
R_1daE3vUDxFrSw4I,17
R_1daZ7tWSMODSGGp,6
R_1dbENh0mO7Jktjr,4
R_1dc3X6XrF0clV3s,12
R_1di9Sd5sV58LBt2,8
R_1dlSByn2AyHWx7r,2
R_1dnt2vJuBD1A90P,10
R_1dpjyNliPgQ1lKK,6
R_1dppjLIFEdj7Kq5,12
R_1dpqMNgAnhRiLQZ,1
R_1drSsuQ7GIFdz5Z,15
R_1ds30eciekBXDER,6
R_1dskEAgtGDCt6s5,5
R_1dt2pwnEJkg5a7A,3
R_1dtMYWgfWdjy9cY,17
R_1dvtjhAKJGVZLoc,13
R_1dyFQKx9yg2YTmC,2
R_1dyqbVnXomwItTl,8
R_1eDabE58dk65Lyy,8
R_1eEsLZ6SYLsIG0s,6
R_1eFOnpA8C2KGexR,5
R_1eFv0mPpH4dM2mG,8
R_1eK2urpNgyTmOuU,18
R_1eK6FkpZCI7P6zo,14
R_1eK7QgmUExJQ7Dh,3
R_1eKaRU9VDx0Cf3s,6
R_1eLARPfQt7BNOE7,8
R_1eOAA9WI8uZjYbx,0
R_1ePFtJLT63QEZUA,11
R_1ePQwiSF1D69tzb,4
R_1eQ310Uea5DrogF,19
R_1eQnJj8K1vtPl5u,3
R_1eQqFeBM4MatSbX,5
R_1eRF02QL0cAkzuK,2
R_1eWdieBjoYJXAYv,0
R_1eWqoB1QIjLQTs2,7
R_1eXcCdLEuOijpZN,2
R_1eY3IFJxdbNlGKz,13
R_1erhO8tofEyVnjc,2
R_1es0ZAh99KXD78e,16
R_1esG9Jlh9NISLaO,17
R_1esZtPsHuOA5LXM,2
R_1escXXhyvAgsBYq,9
R_1et68OMwPsnfEX9,8
R_1ewN7JPVQlVBeKw,2
R_1ewSs1s8XEonRw7,17
R_1ewXi7AGxIOjtC1,18
R_1exXWjxYQMfIn3X,11
R_1exepO2lYqHFR9q,3
R_1ez4JQNwmuGXkQX,5
R_1ezavRhXbeNQUT1,5
R_1f0BheVrUHXS92R,12
R_1f1Myjt3mEazBt1,0
R_1f1PzEZw8H2N4zm,0
R_1f1SLKwUDjWMgAL,0
